"Path","Tracked","WorktreeExists","SizeBytes","TopLevel","Extension","Classification","WorkflowRelation","RuntimeProtection","ReferenceAuditStatus","GitHistoryStatus","Notes"
".agents/skills/firebase-basics/references/firebase-service-init.md","True","True","694",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/flutter_setup.md","True","True","4783",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/ios_setup.md","True","True","4024",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/local-env-setup.md","True","True","2625",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/refresh/android_studio.md","True","True","1284",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/refresh/antigravity.md","True","True","2078",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/refresh/claude.md","True","True","376",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/refresh/gemini-cli.md","True","True","479",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/refresh/other-agents.md","True","True","2261",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/android_studio.md","True","True","658",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/antigravity.md","True","True","3330",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/claude_code.md","True","True","1880",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/cursor.md","True","True","3053",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/gemini_cli.md","True","True","1942",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/github_copilot.md","True","True","3363",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/setup/other_agents.md","True","True","3416",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/references/web_setup.md","True","True","1669",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-basics/SKILL.md","True","True","6949",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-crashlytics/references/android_setup.md","True","True","5176",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-crashlytics/references/ios_setup.md","True","True","4587",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-crashlytics/SKILL.md","True","True","1684",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/examples.md","True","True","14698",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/advanced.md","True","True","7342",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/config.md","True","True","5771",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/native_sql.md","True","True","7114",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/operations.md","True","True","9221",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/realtime.md","True","True","6876",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/schema.md","True","True","6028",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/sdk_admin_node.md","True","True","4173",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/sdk_android.md","True","True","3769",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/sdk_flutter.md","True","True","3490",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/sdk_ios.md","True","True","4309",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/sdk_web.md","True","True","3974",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/reference/security.md","True","True","7192",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-data-connect/SKILL.md","True","True","7662",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
